
"mAno";"mOrgão (Cod/Desc)";"mData Carga Dados";"mCategoria Econômica (Cod/Desc)";"mOrigem (Cod/Desc)";"mEspécie (Cod/Desc)";"mAlínea (Cod/Desc) / Desdob. 1";"mNatureza Receita (Cod)";"mNatureza Receita";"Soma Receita Prevista";"Soma Receita Arrecadada Líquida"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - RECEITAS IMOBILIÁRIAS";"131100 - ALUGUÉIS";"13110000";"ALUGUÉIS";"0,00";"0,00"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"133 - RECEITA DE CONCESSÕES E PERMISSÕES";"133301 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA";"13330100";"RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA";"1001123,00";"1078307,38"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"15 - RECEITA INDUSTRIAL";"152 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO";"152029 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA";"15202900";"RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA";"873304,00";"525479,41"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"160 - RECEITA DE SERVIÇOS";"160013 - SERVIÇOS ADMINISTRATIVOS";"16001300";"SERVIÇOS ADMINISTRATIVOS";"294079,00";"176621,49"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"191927 - MULTAS E JUROS PREVISTOS EM CONTRATOS";"19192700";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"959950,00";"999006,31"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"191999 - OUTRAS MULTAS";"19199900";"OUTRAS MULTAS";"0,00";"179,25"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192106 - INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"19210600";"INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"1602,00";"8576,67"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192199 - OUTRAS INDENIZAÇÕES";"19219900";"OUTRAS INDENIZAÇÕES";"0,00";"0,00"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192201 - RESTITUIÇÕES DE CONVÊNIOS";"19220100";"RESTITUIÇÕES DE CONVÊNIOS";"95215,00";"113888,35"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192207 - RECUPERAÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"19220700";"RECUPERAÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"0,00";"4710934,02"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192299 - OUTRAS RESTITUIÇÕES";"19229900";"OUTRAS RESTITUIÇÕES";"1477585,00";"1041461,49"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221500 - ALIENAÇÃO DE VEÍCULOS";"22150000";"ALIENAÇÃO DE VEÍCULOS";"0,00";"853400,00"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221600 - ALIENAÇÃO DE MÓVEIS E UTENSÍLIOS";"22160000";"ALIENAÇÃO DE MÓVEIS E UTENSÍLIOS";"0,00";"181970,00"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221900 - ALIENAÇÃO DE OUTROS BENS MÓVEIS";"22190000";"ALIENAÇÃO DE OUTROS BENS MÓVEIS";"0,00";"0,00"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"73 - RECEITA PATRIMONIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"733 - RECEITA DE CONCESSÕES E PERMISSÕES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"733301 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA - OPERAÇÕES INTRA-ORÇAMENTÁRIAS";"73330100";"RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA - OPERAÇÕES INTRA-ORÇAMENTÁRIAS";"156695,00";"137219,17"
"2013";"02000 - SENADO FEDERAL";"18/01/2014";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"752 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO - OPERAÇÕES INTRAORÇAMENTÁRIAS";"752029 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75202900";"RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA - OPERAÇÕES INTRAORÇAMENTÁRIAS";"1100000,00";"1104824,57"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - RECEITAS IMOBILIÁRIAS";"131100 - ALUGUÉIS";"13110000";"ALUGUÉIS";"0,00";"0,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - RECEITAS IMOBILIÁRIAS";"131200 - ARRENDAMENTOS";"13120000";"ARRENDAMENTOS";"0,00";"0,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"133 - RECEITA DE CONCESSÕES E PERMISSÕES";"133301 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA";"13330100";"RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA";"1093034,00";"1482635,50"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"136 - CESSÃO DE DIREITOS";"136101 - RECEITA CESSAO DIR.OPERACIONALIZACAO FOPAG";"13610100";"RECEITA CESSAO DIR.OPERACIONALIZACAO FOPAG";"0,00";"48764735,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"15 - RECEITA INDUSTRIAL";"152 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO";"152029 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA";"15202900";"RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA";"659293,00";"593657,47"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"16 - RECEITA DE SERVIÇOS";"160 - RECEITA DE SERVIÇOS";"160013 - SERVIÇOS ADMINISTRATIVOS";"16001300";"SERVIÇOS ADMINISTRATIVOS";"191899,00";"173486,05"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"191 - MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS";"191927 - MULTAS E JUROS PREVISTOS EM CONTRATOS";"19192700";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"951845,00";"623483,29"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192106 - INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"19210600";"INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÚBLICO";"7538,00";"6830,16"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192199 - OUTRAS INDENIZAÇÕES";"19219900";"OUTRAS INDENIZAÇÕES";"0,00";"0,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192201 - RESTITUIÇÕES DE CONVÊNIOS";"19220110";"RESTITUICOES DE CONVENIOS - PRIMARIAS";"0,00";"310611,05"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192207 - RECUPERAÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"19220700";"RECUPERAÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES";"3439240,00";"3107220,39"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"1 - RECEITAS CORRENTES";"19 - OUTRAS RECEITAS CORRENTES";"192 - INDENIZAÇÕES E RESTITUIÇÕES";"192299 - OUTRAS RESTITUIÇÕES";"19229900";"OUTRAS RESTITUIÇÕES";"1270580,00";"1016605,62"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221500 - ALIENAÇÃO DE VEÍCULOS";"22150000";"ALIENAÇÃO DE VEÍCULOS";"0,00";"55371,40"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221600 - ALIENAÇÃO DE MÓVEIS E UTENSÍLIOS";"22160000";"ALIENAÇÃO DE MÓVEIS E UTENSÍLIOS";"246460,00";"0,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"2 - RECEITAS DE CAPITAL";"22 - ALIENAÇÃO DE BENS";"221 - ALIENAÇÃO DE BENS MÓVEIS";"221900 - ALIENAÇÃO DE OUTROS BENS MÓVEIS";"22190000";"ALIENAÇÃO DE OUTROS BENS MÓVEIS";"134450,00";"0,00"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"73 - RECEITA PATRIMONIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"733 - RECEITA DE CONCESSÕES E PERMISSÕES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"733301 - RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA - OPERAÇÕES INTRA-ORÇAMENTÁRIAS";"73330100";"RECEITA DE CONCESSÃO DE DIREITO REAL DE USO DE ÁREA PÚBLICA - OPERAÇÕES INTRA-ORÇAMENTÁRIAS";"189594,00";"167753,82"
"2014";"02000 - SENADO FEDERAL";"17/01/2015";"7 - RECEITAS CORRENTES - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75 - RECEITA INDUSTRIAL - OPERAÇÕES INTRAORÇAMENTÁRIAS";"752 - RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO - OPERAÇÕES INTRAORÇAMENTÁRIAS";"752029 - RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA - OPERAÇÕES INTRAORÇAMENTÁRIAS";"75202900";"RECEITA DA INDÚSTRIA EDITORIAL E GRÁFICA - OPERAÇÕES INTRAORÇAMENTÁRIAS";"0,00";"247630,74"
"2015";"02000 - SENADO FEDERAL";"31/12/2015";"1 - RECEITAS CORRENTES";"13 - RECEITA PATRIMONIAL";"131 - RECEITAS IMOBILIÁRIAS";"00 - ALUGUÉIS";"13110000";"ALUGUEIS";"0,00";"1509,06"
