ÚLTIMA ATUALIZAÇÃO;17/03/2020 05:33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME;TIPO;DT_INI;DT_FIM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ALOIZIO MERCADANTE OLIVA;EX-SENADOR PSSC;13/07/2016;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ANTERO PAES DE BARROS NETO;EX-SENADOR PSSC;27/01/2016;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ARMANDO DE QUEIROZ MONTEIRO NETO;EX-SENADOR PSSC;04/02/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CÉSAR AUGUSTO RABELLO BORGES;EX-SENADOR PSSC;01/02/2011;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CICERO DE LUCENA FILHO;EX-SENADOR PSSC;04/09/2017;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CLÉSIO SOARES DE ANDRADE;EX-SENADOR PSSC;09/11/2016;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DELCIDIO DO AMARAL GOMEZ;EX-SENADOR PSSC;01/07/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
HÉLIO CALIXTO DA COSTA;EX-SENADOR PSSC;01/02/2011;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IDELI SALVATTI;EX-SENADOR PSSC;24/05/2012;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
JOÃO ALBERTO RODRIGUES CAPIBERIBE;EX-SENADOR PSSC;07/02/2020;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
JORGE NEY VIANA MACEDO NEVES;EX-SENADOR PSSC;26/09/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
JOSÉ BARROSO PIMENTEL;EX-SENADOR PSSC;04/02/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MARCO ANTÔNIO DE OLIVEIRA MACIEL;EX-SENADOR PSSC;01/02/2011;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROMERO JUCÁ FILHO;EX-SENADOR PSSC;04/02/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
WALTER DE FREITAS PINHEIRO;EX-SENADOR PSSC;19/06/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
