ÚLTIMA ATUALIZAÇÃO;12/03/2020 05:33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME;TIPO;DT_INI;DT_FIM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ADEMIR GALVÃO ANDRADE;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ALBANO DO PRADO PIMENTEL FRANCO;EX-SENADOR IPC;02/01/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ANTONIO CARLOS VALADARES;EX-SENADOR IPC;01/02/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ANTÔNIO DE ALMENDRA FREITAS NETO;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ANTÔNIO VALMIR CAMPELO BEZERRA;EX-SENADOR IPC;13/11/1997;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ARLINDO PÔRTO NETO;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CARLOS ALBERTO DE'CARLI;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CARLOS ALBERTO GOMES CHIARELLI;EX-SENADOR IPC;01/02/1991;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CARLOS MAURO CABRAL BENEVIDES;EX-SENADOR IPC;08/05/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CASILDO JOÃO MALDANER;EX-SENADOR IPC;02/04/1992;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CID SABOIA DE CARVALHO;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DIRCEU JOSÉ CARNEIRO;EX-SENADOR IPC;23/03/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
EDISON LOBÃO;EX-SENADOR IPC;14/03/1991;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
EDUARDO MATARAZZO SUPLICY;EX-SENADOR IPC;01/02/2015;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FRANCISCO GUIMARÃES ROLLEMBERG;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FRANCISCO LEITE CHAVES;EX-SENADOR IPC;01/01/1986;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
HUGO NAPOLEÃO DO REGO NETO;EX-SENADOR IPC;01/01/1986;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HYDEKEL MENEZES FREITAS LIMA;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IRAM DE ALMEIDA SARAIVA;EX-SENADOR IPC;17/09/1994;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IRAPUAN COSTA JÚNIOR;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
JAISON TUPY BARRETO;EX-SENADOR IPC;01/02/1987;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
JOÃO AMÉRICO DE SOUZA;EX-SENADOR IPC;04/12/1986;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
JOÃO DA ROCHA RIBEIRO DIAS;EX-SENADOR IPC;01/02/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
JOÃO FRANÇA ALVES;EX-SENADOR IPC;01/02/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
JOAQUIM RUY PAULILO BACELAR;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
JORGE KONDER BORNHAUSEN;EX-SENADOR IPC;01/02/1991;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
JOSÉ AGRIPINO MAIA;EX-SENADOR IPC;01/02/2019;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
JOSÉ ALBERTO FOGAÇA DE MEDEIROS;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
JOSÉ DE SOUZA MARTINS FILHO;EX-SENADOR IPC;01/02/1987;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
JOSÉ IGNACIO FERREIRA;EX-SENADOR IPC;01/02/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
JOSÉ MÁRCIO PANOFF DE LACERDA;EX-SENADOR IPC;02/01/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
JOSÉ PAULO BISOL;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
JOSÉ SARNEY;EX-SENADOR IPC;01/02/1991;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
JÚLIO JOSÉ DE CAMPOS;EX-SENADOR IPC;01/02/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
JÚNIA MARISE AZEREDO COUTINHO;EX-SENADOR IPC;22/06/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LAVOISIER MAIA SOBRINHO;EX-SENADOR IPC;11/02/2005;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
LOUREMBERG RIBEIRO NUNES ROCHA;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LÚCIO GONÇALO DE ALCÂNTARA;EX-SENADOR IPC;16/05/1993;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LUIZ FERNANDO DE OLIVEIRA FREIRE;EX-SENADOR IPC;01/02/1967;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MARCELO MIRANDA SOARES;EX-SENADOR IPC;07/02/1991;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MARIA MARLUCE MOREIRA PINTO;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MAURO MIRANDA SOARES;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MILTON BEZERRA CABRAL;EX-SENADOR IPC;29/07/1986;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NABOR TELES DA ROCHA JÚNIOR;EX-SENADOR IPC;01/02/1983;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NELSON WEDEKIN;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PAULO FERNANDO BATISTA GUERRA;EX-SENADOR IPC;01/12/2001;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PEDRO JORGE SIMON;EX-SENADOR IPC;01/02/1987;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
RAIMUNDO LIRA;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ROBERTO SATURNINO BRAGA;EX-SENADOR IPC;18/02/1999;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
RONAN TITO DE ALMEIDA;EX-SENADOR IPC;01/02/1995;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TEOTONIO BRANDÃO VILELA FILHO;EX-SENADOR IPC;01/01/2015;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
WALDECK VIEIRA ORNELAS;EX-SENADOR IPC;01/02/2003;---                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
